onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
703.39794921875	0.0002	electrical_stimulation	n/a	n/a	2196271	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
715.6806640625	0.0002	electrical_stimulation	n/a	n/a	2221426	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
720.6279296875	0.0002	electrical_stimulation	n/a	n/a	2231558	biphasic	RA3-RA4	3-4	6.0 mA	n/a	good	n/a
741.03955078125	0.0002	electrical_stimulation	n/a	n/a	2273361	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
745.298828125	0.0002	electrical_stimulation	n/a	n/a	2282084	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
750.720703125	0.0002	electrical_stimulation	n/a	n/a	2293188	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
754.97412109375	0.0002	electrical_stimulation	n/a	n/a	2301899	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
759.58349609375	0.0002	electrical_stimulation	n/a	n/a	2311339	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
764.28076171875	0.0002	electrical_stimulation	n/a	n/a	2320959	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
768.357421875	0.0002	electrical_stimulation	n/a	n/a	2329308	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
773.544921875	0.0002	electrical_stimulation	n/a	n/a	2339932	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
777.33984375	0.0002	electrical_stimulation	n/a	n/a	2347704	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
780.9267578125	0.0002	electrical_stimulation	n/a	n/a	2355050	biphasic	RA4-RA5	4-5	6.0 mA	n/a	good	n/a
795.00927734375	0.0002	electrical_stimulation	n/a	n/a	2383891	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
798.69580078125	0.0002	electrical_stimulation	n/a	n/a	2391441	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
802.14599609375	0.0002	electrical_stimulation	n/a	n/a	2398507	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
806.19189453125	0.0002	electrical_stimulation	n/a	n/a	2406793	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
809.74755859375	0.0002	electrical_stimulation	n/a	n/a	2414075	biphasic	RA5-RA6	5-6	6.0 mA	n/a	good	n/a
